Species,Repository,Number,Carapace-plastron_width,Length-height,ecology,Specimen_number,Unique_ID,Carapace_width_height,Hand_webbing,Source
Acanthochelys_spixii,FLMNH,151029,1.58,3.25,aquatic,FLMNH_151029,Acanthochelys_spixii_FLMNH_151029,2.286324786,2,Lichtig_and_Lucas_2017_original_measurement
Acanthochelys_spixii,FLMNH,57430,1.56,2.98,aquatic,FLMNH_57430,Acanthochelys_spixii_FLMNH_57430,2.120430108,2,Lichtig_and_Lucas_2017_original_measurement
Actinemys_marmorata,UNM,47321,1.49,2.63,aquatic,UNM_47321,Actinemys_marmorata_UNM_47321,2.071428571,2,Lichtig_and_Lucas_2017_original_measurement
Agrionemys_horsfeldii,UNM,45053,1.48,1.77,terrestrial,UNM_45053,Agrionemys_horsfeldii_UNM_45053,1.679245283,0,Lichtig_and_Lucas_2017_original_measurement
Apalone_mutica,UNM,4391,2.02,4.84,aquatic,UNM_4391,Apalone_mutica_UNM_4391,3.860465116,3,Lichtig_and_Lucas_2017_original_measurement
Apalone_mutica,UNM,60767,2.3,4.09,aquatic,UNM_60767,Apalone_mutica_UNM_60767,3.484848485,3,Lichtig_and_Lucas_2017_original_measurement
Apalone_mutica,UNM,4389,2.22,5.32,aquatic,UNM_4389,Apalone_mutica_UNM_4389,4.290322581,3,Lichtig_and_Lucas_2017_original_measurement
Apalone_mutica,UNM,42171,2.08,4.4,aquatic,UNM_42171,Apalone_mutica_UNM_42171,3.339622642,3,Lichtig_and_Lucas_2017_original_measurement
Apalone_mutica,UNM,890890,2.03,4.78,aquatic,UNM_890890,Apalone_mutica_UNM_890890,3.6875,3,Lichtig_and_Lucas_2017_original_measurement
Apalone_mutica,UNM,42641,2.22,3.58,aquatic,UNM_42641,Apalone_mutica_UNM_42641,3,3,Lichtig_and_Lucas_2017_original_measurement
Apalone_mutica,UNM,22101,2.26,5.37,aquatic,UNM_22101,Apalone_mutica_UNM_22101,4.518518519,3,Lichtig_and_Lucas_2017_original_measurement
Apalone_mutica,UNM,42287,2.03,5.06,aquatic,UNM_42287,Apalone_mutica_UNM_42287,4.171428571,3,Lichtig_and_Lucas_2017_original_measurement
Apalone_mutica,UNM,36893,2.27,4.86,aquatic,UNM_36893,Apalone_mutica_UNM_36893,3.828571429,3,Lichtig_and_Lucas_2017_original_measurement
Apalone_mutica,UNM,45352,2.66,6.31,aquatic,UNM_45352,Apalone_mutica_UNM_45352,5.611111111,3,Lichtig_and_Lucas_2017_original_measurement
Apalone_spinifera,UNM,25646,2.46,4.36,aquatic,UNM_25646,Apalone_spinifera_UNM_25646,3.694444444,3,Lichtig_and_Lucas_2017_original_measurement
Apalone_spinifera,UNM,39173,2.11,4.28,aquatic,UNM_39173,Apalone_spinifera_UNM_39173,3.275,3,Lichtig_and_Lucas_2017_original_measurement
Apalone_spinifera,UNM,12538,2.13,4.2,aquatic,UNM_12538,Apalone_spinifera_UNM_12538,3.25,3,Lichtig_and_Lucas_2017_original_measurement
Apalone_spinifera,UNM,15562,2.05,4.79,aquatic,UNM_15562,Apalone_spinifera_UNM_15562,3.813953488,3,Lichtig_and_Lucas_2017_original_measurement
Apalone_spinifera,UNM,33574,2.34,4.65,aquatic,UNM_33574,Apalone_spinifera_UNM_33574,3.647058824,3,Lichtig_and_Lucas_2017_original_measurement
Apalone_spinifera,UNM,20546,2.38,4.86,aquatic,UNM_20546,Apalone_spinifera_UNM_20546,3.942857143,3,Lichtig_and_Lucas_2017_original_measurement
Apalone_spinifera,UNM,20486,1.99,4.76,aquatic,UNM_20486,Apalone_spinifera_UNM_20486,3.547619048,3,Lichtig_and_Lucas_2017_original_measurement
Apalone_spinifera,UNM,39165,2.33,3.66,aquatic,UNM_39165,Apalone_spinifera_UNM_39165,2.754098361,3,Lichtig_and_Lucas_2017_original_measurement
Apalone_spinifera,UNM,23741,2.04,4.01,aquatic,UNM_23741,Apalone_spinifera_UNM_23741,3.217391304,3,Lichtig_and_Lucas_2017_original_measurement
Apalone_spinifera,UNM,7521,2.09,4.7,aquatic,UNM_7521,Apalone_spinifera_UNM_7521,3.622641509,3,Lichtig_and_Lucas_2017_original_measurement
Astrochelys_radiata,FLMNH,27386,1.45,1.55,terrestrial,FLMNH_27386,Astrochelys_radiata_FLMNH_27386,1.131578947,0,Lichtig_and_Lucas_2017_original_measurement
Astrochelys_yniphora,FLMNH,58390,1.74,1.68,terrestrial,FLMNH_58390,Astrochelys_yniphora_FLMNH_58390,1.213333333,0,Lichtig_and_Lucas_2017_original_measurement
Basilemys_gaffneyi,USNM,11084,1.45,1.57,fossil,USNM_11084,Basilemys_gaffneyi_USNM_11084,1.01,unknown,Lichtig_and_Lucas_2017_original_measurement
Basilemys_morrinensis,CMN,57059,1.64,4.26,fossil,CMN_57059,Basilemys_morrinensis_CMN_57059,3.32,unknown,new_measurement_this_study
Batagur_affinis,USNM,579879,2.21,2.23,aquatic,USNM_579879,Batagur_affinis_USNM_579879,1.8,3,Lichtig_and_Lucas_2017_original_measurement
Batagur_baska,USNM,108985,1.9,2.01,aquatic,USNM_108985,Batagur_baska_USNM_108985,1.434108527,3,Lichtig_and_Lucas_2017_original_measurement
Batagur_borneoensis,FLMNH,151697,1.87,2,aquatic,FLMNH_151697,Batagur_borneoensis_FLMNH_151697,1.519607843,3,Lichtig_and_Lucas_2017_original_measurement
Batagur_borneoensis,USNM,38077,2.1,2.6,aquatic,USNM_38077,Batagur_borneoensis_USNM_38077,2.142857143,3,Lichtig_and_Lucas_2017_original_measurement
Carettochelys_insculpta,UTA_R,63590,1.58,2.78,aquatic,UTA_R_63590,Carettochelys_insculpta_UTA_R_63590,2.888888889,4,Lichtig_and_Lucas_2017_original_measurement
Carettochelys_insculpta,UTA_R,29985,1.23,2.83,aquatic,UTA_R_29985,Carettochelys_insculpta_UTA_R_29985,2.388888889,4,Lichtig_and_Lucas_2017_original_measurement
Carettochelys_insculpta,UTA_R,29986,1.19,2.88,aquatic,UTA_R_29986,Carettochelys_insculpta_UTA_R_29986,2.235294118,4,Lichtig_and_Lucas_2017_original_measurement
Chelodina_longicollis,FLMNH,78334,1.8,2.65,aquatic,FLMNH_78334,Chelodina_longicollis_FLMNH_78334,2.045101089,3,Lichtig_and_Lucas_2017_original_measurement
Chelonia_mydas,Unknown,Unknown,3.5,2.7,aquatic,Unknown_Unknown,Chelonia_mydas_Unknown_Unknown,NA,4,Lichtig_and_Lucas_2017_original_measurement
Chelonia_mydas,YPM,VZ018243,3.81,3.24,aquatic,YPM_VZ018243,Chelonia_mydas_YPM_VZ018243,2.6,4,new_measurement_this_study
Chelonia_mydas,SMF,73551,2.7,3.6,aquatic,SMF_73551,Chelonia_mydas_SMF_73551,2.89,4,new_measurement_this_study
Chelonoidis_carbonaria,FLMNH,42540,1.41,2.28,terrestrial,FLMNH_42540,Chelonoidis_carbonaria_FLMNH_42540,1.468085106,0,Lichtig_and_Lucas_2017_original_measurement
Chelonoidis_carbonaria,FLMNH,33595,1.56,1.87,terrestrial,FLMNH_33595,Chelonoidis_carbonaria_FLMNH_33595,1.203090508,0,Lichtig_and_Lucas_2017_original_measurement
Chelonoidis_carbonaria,UNM,37727,1.57,2.01,terrestrial,UNM_37727,Chelonoidis_carbonaria_UNM_37727,1.333333333,0,Lichtig_and_Lucas_2017_original_measurement
Chelonoidis_carbonaria,USNM,5194,1.63,2.13,terrestrial,USNM_5194,Chelonoidis_carbonaria_USNM_5194,1.388059701,0,Lichtig_and_Lucas_2017_original_measurement
Chelonoidis_chilensis,USNM,129248,1.66,2.12,terrestrial,USNM_129248,Chelonoidis_chilensis_USNM_129248,1.661538462,0,Lichtig_and_Lucas_2017_original_measurement
Chelonoidis_chilensis,USNM,129250,1.65,2.2,terrestrial,USNM_129250,Chelonoidis_chilensis_USNM_129250,1.888888889,0,Lichtig_and_Lucas_2017_original_measurement
Chelonoidis_denticulata,FLMNH,33673,1.52,2.35,terrestrial,FLMNH_33673,Chelonoidis_denticulata_FLMNH_33673,1.514121339,0,Lichtig_and_Lucas_2017_original_measurement
Chelonoidis_denticulata,USNM,65664,1.43,2.06,terrestrial,USNM_65664,Chelonoidis_denticulata_USNM_65664,1.465909091,0,Lichtig_and_Lucas_2017_original_measurement
Chelonoidis_denticulata,USNM,65665,1.45,2.11,terrestrial,USNM_65665,Chelonoidis_denticulata_USNM_65665,1.392156863,0,Lichtig_and_Lucas_2017_original_measurement
Chelonoidis_nigra,FLMNH,20638,1.8,1.78,terrestrial,FLMNH_20638,Chelonoidis_nigra_FLMNH_20638,1.52733119,0,Lichtig_and_Lucas_2017_original_measurement
Chelydra_serpentina,UNM,15614,2.89,3.81,aquatic,UNM_15614,Chelydra_serpentina_UNM_15614,3.352941176,2,Lichtig_and_Lucas_2017_original_measurement
Chelydra_serpentina,UNM,15616,2.89,2.79,aquatic,UNM_15616,Chelydra_serpentina_UNM_15616,2.457943925,2,Lichtig_and_Lucas_2017_original_measurement
Chelydra_serpentina,FLMNH,21913,3.57,3.25,aquatic,FLMNH_21913,Chelydra_serpentina_FLMNH_21913,2.828333333,2,Lichtig_and_Lucas_2017_original_measurement
Chelydra_serpentina,UNM,15617,3.61,3.04,aquatic,UNM_15617,Chelydra_serpentina_UNM_15617,2.453608247,2,Lichtig_and_Lucas_2017_original_measurement
Chelydra_serpentina,UNM,15615,3.17,2.66,aquatic,UNM_15615,Chelydra_serpentina_UNM_15615,2.215053763,2,Lichtig_and_Lucas_2017_original_measurement
Chelydra_serpentina,UNM,16460,3.72,2.69,aquatic,UNM_16460,Chelydra_serpentina_UNM_16460,2.457627119,2,Lichtig_and_Lucas_2017_original_measurement
Chelydra_serpentina,UNM,17199,3.65,2.78,aquatic,UNM_17199,Chelydra_serpentina_UNM_17199,2.375,2,Lichtig_and_Lucas_2017_original_measurement
Chelydra_serpentina,UNM,3091,3.01,3.11,aquatic,UNM_3091,Chelydra_serpentina_UNM_3091,2.632911392,2,Lichtig_and_Lucas_2017_original_measurement
Chrysemys_picta,UNM,2904,1.65,2.6,aquatic,UNM_2904,Chrysemys_picta_UNM_2904,2.087719298,2,Lichtig_and_Lucas_2017_original_measurement
Clemmys_guttata,FLMNH,154363,1.42,2.7,aquatic,FLMNH_154363,Clemmys_guttata_FLMNH_154363,2.017811705,1,Lichtig_and_Lucas_2017_original_measurement
Clemmys_guttata,FLMNH,14650,1.43,2.89,aquatic,FLMNH_14650,Clemmys_guttata_FLMNH_14650,2.2625,1,Lichtig_and_Lucas_2017_original_measurement
Cuora_amboinensis,UNM,41519,1.57,2.34,aquatic,UNM_41519,Cuora_amboinensis_UNM_41519,1.915254237,2,Lichtig_and_Lucas_2017_original_measurement
Cuora_amboinensis,FLMNH,99960,1.5,2.18,aquatic,FLMNH_99960,Cuora_amboinensis_FLMNH_99960,1.543345543,2,Lichtig_and_Lucas_2017_original_measurement
Cuora_amboinensis,FLMNH,99961,1.43,2.54,aquatic,FLMNH_99961,Cuora_amboinensis_FLMNH_99961,1.834231806,2,Lichtig_and_Lucas_2017_original_measurement
Cuora_amboinensis,FLMNH,153867,1.58,2.12,aquatic,FLMNH_153867,Cuora_amboinensis_FLMNH_153867,1.802110818,2,Lichtig_and_Lucas_2017_original_measurement
Cuora_amboinensis,FLMNH,153865,1.47,1.92,aquatic,FLMNH_153865,Cuora_amboinensis_FLMNH_153865,1.612765957,2,Lichtig_and_Lucas_2017_original_measurement
Cuora_amboinensis,FLMNH,153866,1.62,2.05,aquatic,FLMNH_153866,Cuora_amboinensis_FLMNH_153866,1.794554455,2,Lichtig_and_Lucas_2017_original_measurement
Cuora_amboinensis,UNM,41519_duplicated,1.55,2.57,aquatic,UNM_41519_duplicated,Cuora_amboinensis_UNM_41519_duplicated,2.092592593,2,Lichtig_and_Lucas_2017_original_measurement
Cuora_amboinensis,USNM,104334,1.44,2.87,aquatic,USNM_104334,Cuora_amboinensis_USNM_104334,2.033333333,2,Lichtig_and_Lucas_2017_original_measurement
Cuora_aurocapitata,FLMNH,78128,1.3,2.88,aquatic,FLMNH_78128,Cuora_aurocapitata_FLMNH_78128,1.965116279,2,Lichtig_and_Lucas_2017_original_measurement
Cuora_galbinifrons,FLMNH,78570,1.26,2.04,terrestrial,FLMNH_78570,Cuora_galbinifrons_FLMNH_78570,1.553509781,1,Lichtig_and_Lucas_2017_original_measurement
Cuora_galbinifrons,FLMNH,78571,1.29,2.5,terrestrial,FLMNH_78571,Cuora_galbinifrons_FLMNH_78571,2.058219178,1,Lichtig_and_Lucas_2017_original_measurement
